Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Afghanistan,AFG,"Losses due to theft, robbery, vandalism, and arson (% sales)",IC.FRM.CRIM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.46,,,,
Albania,ALB,GINI index,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.12,,,,,28.15,,31.09,33.03,,,34.51,,,,
Albania,ALB,GDP (constant 2000 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,2833406779,2996203998,3084549973,3118632347,3079599649,3134436354,3311132154,3285045643,3238396691,3556943168,3216343088,2264659407,2101603929,2303357907,2494536613,2826309982,3083504202,2768986763,3120648082,3435833539,3686649387,3944714844,4059111575,4290480934,4543619309,4793518372,5033194290,5330152753,5740574515,5930013474,6137563946,6321690864,
Albania,ALB,GDP (constant LCU),NY.GDP.MKTP.KN,,,,,,,,,,,,,,,,,,,,,2.89339E+11,3.05963E+11,3.14985E+11,3.18465E+11,3.14479E+11,3.20079E+11,3.38123E+11,3.35459E+11,3.30695E+11,3.63224E+11,3.28443E+11,2.3126E+11,2.14609E+11,2.35212E+11,2.54734E+11,2.88614E+11,3.14878E+11,2.8276E+11,3.18671E+11,3.50857E+11,3.76469E+11,4.02822E+11,4.14504E+11,4.38131E+11,4.6398E+11,4.89499E+11,5.13974E+11,5.44299E+11,5.8621E+11,6.05555E+11,6.26749E+11,6.45552E+11,
Albania,ALB,GDP (current LCU),NY.GDP.MKTP.CN,,,,,,,,,,,,,,,,,,,,,15537999872,16072999936,16544000000,16723999744,16510000128,16862999552,17390000128,17252999168,17008000000,18680999936,16812999680,16403999744,53232001024,1.2534E+11,1.87891E+11,2.24745E+11,3.14878E+11,3.22186E+11,4.12326E+11,4.74291E+11,5.30907E+11,5.87716E+11,6.24718E+11,6.82669E+11,7.66379E+11,8.3658E+11,8.95935E+11,9.68E+11,1.088E+12,1.151E+12,1.2325E+12,1.30755E+12,
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,1924242456,1965384581,2173750016,2156624896,2126000000,2335124992,2101624960,1139166679,709452572.7,1228071037,1985673026,2424498953,3013217853,2196223714,2727745453,3434402453,3686649387,4091020249,4449373456,5652325082,7464446950,8376483740,9132562332,10704660840,12968653525,12118583126,11858216877,12959563902,
Albania,ALB,GNI (constant 2000 US$),NY.GNP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2223289676,2036798147,2280919185,2496581027,2870542031,3152069754,2825716764,3185348507,3493905058,3790484795,4087853569,4179382391,4424513491,4662250680,4892836061,5185736078,5509923324,5830669679,5855359438,6064449382,6277444544,
Albania,ALB,GNI (constant LCU),NY.GNP.MKTP.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.27389E+11,2.08316E+11,2.33283E+11,2.5534E+11,2.93587E+11,3.22381E+11,2.89003E+11,3.25785E+11,3.57343E+11,3.87676E+11,4.18089E+11,4.2745E+11,4.52521E+11,4.76836E+11,5.0042E+11,5.30376E+11,5.63533E+11,5.96337E+11,5.98863E+11,6.20248E+11,6.42032E+11,
Albania,ALB,GNI (current LCU),NY.GNP.MKTP.CN,,,,,,,,,,,,,,,,,,,,,,,,,16537456128,16875011552,17390800128,17256199168,17009600000,18680199936,16797799680,16091519744,51072001024,1.24115E+11,1.88364E+11,2.28787E+11,3.22381E+11,3.29462E+11,4.21454E+11,4.82724E+11,5.4586E+11,6.08625E+11,6.42633E+11,7.02895E+11,7.85055E+11,8.52996E+11,9.20753E+11,9.95251E+11,1.10199E+12,1.14063E+12,1.22163E+12,1.3015E+12,
Albania,ALB,GNI (current US$),NY.GNP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,1927442456,1966784581,2173850016,2157024896,2126200000,2335024992,2099724960,1117466678,680665047.7,1216071331,1990672850,2468098953,3085017853,2245823714,2788132389,3495464333,3790484795,4236568355,4576968783,5819787878,7646346950,8540849440,9385534432,11006013532,13135414080,12009368923,11753670225,12899531803,
