GEO.display-label,GEO.id,HC01_VC85,HD01_VD01,HC01_VC73,HC01_VC72,HC01_VC74,HC01_VC75,HC01_VC156,HC01_VC76,GEO.id2,HD02_VD01,HC01_VC38,HC01_VC77
"Mendocino County, California",0500000US06045,40536,360200,1352,73014,6577,2144,0,425,6045,22336,87828,6473
"Merced County, California",0500000US06047,42449,146100,11024,195454,3492,21818,0,402,6047,10127,256778,30587
"Monterey County, California",0500000US06053,54534,381700,15642,335179,11530,33268,0,4069,6053,12839,416682,35254
"Napa County, California",0500000US06055,64401,424100,3421,116445,1720,11259,0,326,6055,34194,136858,7611
"Nevada County, California",0500000US06057,54456,369300,512,94049,1784,1917,0,0,6057,14132,98794,1877
"Orange County, California",0500000US06059,70880,528200,62858,1927933,26658,596724,0,19347,6059,6500,3018963,482445
"Placer County, California",0500000US06061,67884,344100,7030,303703,6628,27531,0,3126,6061,8339,350048,17349
"Riverside County, California",0500000US06065,54296,227900,167190,1557678,43066,163244,0,16461,6065,2802,2203332,354564
"Sacramento County, California",0500000US06067,52709,240200,178445,930115,35711,238494,0,23241,6067,3460,1421959,116979
"San Bernardino County, California",0500000US06071,52607,221700,207094,1390556,44763,154140,0,12175,6071,5300,2042441,332237
"San Diego County, California",0500000US06073,59923,407000,190406,2347753,51344,402515,0,25830,6073,5547,3105989,245623
"San Francisco County, California",0500000US06075,71745,768000,55405,437777,10010,286700,0,6084,6075,19204,805463,40904
"San Joaquin County, California",0500000US06077,50011,213400,61722,456726,20376,115446,0,11061,6077,4739,687744,71393
"San Luis Obispo County, California",0500000US06079,53978,425200,7316,229476,4572,12063,0,0,6079,16140,270113,24009
"San Mateo County, California",0500000US06081,82748,729500,25348,455772,11591,199809,0,15646,6081,14036,720162,55046
"Santa Barbara County, California",0500000US06083,56767,446800,12039,344486,8201,27952,0,1454,6083,28795,424712,47099
"Santa Clara County, California",0500000US06085,85002,639400,57869,957539,21768,621772,0,13437,6085,8631,1787694,199243
"Santa Cruz County, California",0500000US06087,61071,558000,3749,216951,3972,15640,0,929,6087,16351,263054,30360
"Shasta County, California",0500000US06089,41023,225600,2701,164794,8451,5762,0,1612,6089,11214,177291,4340
"Solano County, California",0500000US06095,63384,262600,72504,239449,8496,73395,0,7871,6095,9034,414305,45748
"Sonoma County, California",0500000US06097,59055,414000,11131,415554,11574,24733,0,3046,6097,11680,485120,34029
"Stanislaus County, California",0500000US06099,48044,176800,18956,423579,11753,32328,0,6427,6099,5404,515358,48454
"Sutter County, California",0500000US06101,46521,206600,2638,66869,4008,15315,0,967,6101,11044,94806,12294
"Tulare County, California",0500000US06107,43397,170300,8861,364239,9227,18807,0,1970,6107,4846,443688,57323
"Ventura County, California",0500000US06111,71864,458200,18927,644250,14909,69355,0,4260,6111,8696,825706,105608
"Yolo County, California",0500000US06113,55798,324800,7192,146343,5518,31925,0,3692,6113,19017,201190,20876
"Yuba County, California",0500000US06115,45755,173700,3095,54883,4477,6033,0,676,6115,11509,72388,9441
"Adams County, Colorado",0500000US08001,52711,187900,17203,353179,9621,19076,0,1485,8001,4299,443715,57369
"Arapahoe County, Colorado",0500000US08005,57724,226500,67146,448526,12371,36926,0,1865,8005,3819,575022,35726
"Boulder County, Colorado",0500000US08013,61859,352800,4725,265399,3843,15408,0,0,8013,9415,295166,15770
"Denver County, Colorado",0500000US08031,45074,250100,67636,437082,13176,25268,0,1130,8031,7288,604414,80382
"Douglas County, Colorado",0500000US08035,94909,333200,5753,271598,2493,14157,0,591,8035,7845,287003,2590
"El Paso County, Colorado",0500000US08041,51458,214300,50171,543274,15423,29709,0,6487,8041,4476,626928,27342
"Jefferson County, Colorado",0500000US08059,63826,259200,8730,499332,8306,18924,0,0,8059,4528,535533,13350
"Larimer County, Colorado",0500000US08069,54154,247600,3647,280720,4574,8650,0,1057,8069,5828,300637,9918
"Mesa County, Colorado",0500000US08077,46231,219500,1325,136615,2271,1685,0,613,8077,10263,146313,8215
"Pueblo County, Colorado",0500000US08101,38326,141200,3691,129521,6985,2142,0,1085,8101,6131,159477,23078
"Weld County, Colorado",0500000US08123,51956,182500,3216,233356,5891,4611,0,526,8123,6135,254270,14349
"Fairfield County, Connecticut",0500000US09001,74831,441400,106459,713500,4164,47704,0,458,9001,9430,918714,65042
"Hartford County, Connecticut",0500000US09003,60041,248300,128997,673727,7600,43080,0,1007,9003,3231,894478,68536
"Litchfield County, Connecticut",0500000US09005,66307,272700,3976,180753,1266,3676,0,0,9005,7894,189840,3290
"Middlesex County, Connecticut",0500000US09007,69566,302600,9302,150711,684,5057,0,0,9007,12387,165697,3121
"New Haven County, Connecticut",0500000US09009,57056,269200,122697,664976,8204,34699,0,377,9009,4239,862989,58430
"New London County, Connecticut",0500000US09011,62349,265000,21035,233411,4642,13647,0,0,9011,7480,274055,10447
"Tolland County, Connecticut",0500000US09013,75626,270000,7547,143412,1901,5843,0,0,9013,8255,152781,1210
"Windham County, Connecticut",0500000US09015,60026,227800,2958,111771,1375,1736,0,0,9015,7803,118519,2757
"Kent County, Delaware",0500000US10001,54617,206200,42002,118379,2448,4464,0,0,10001,9413,162912,1309
"New Castle County, Delaware",0500000US10003,59959,256700,134402,372210,4010,26311,0,0,10003,6140,538986,14354
"Sussex County, Delaware",0500000US10005,49006,240700,27216,164270,2183,2410,0,0,10005,7553,197871,6099
"District of Columbia, District of Columbia",0500000US11001,60903,426900,315243,251526,5425,25999,0,807,11001,16253,604453,18815
"Alachua County, Florida",0500000US12001,40358,175500,54451,178847,2333,15777,0,319,12001,6189,247497,3593
"Bay County, Florida",0500000US12005,44881,163600,21689,145776,4536,5145,0,0,12005,8224,169272,1391
"Brevard County, Florida",0500000US12009,46262,149100,60555,465760,5003,15536,0,523,12009,5919,543573,10341
