country,program,FY1946,FY1947,FY1948,FY1949,FY1950,FY1951,FY1952,FY1953,FY1954,FY1955,FY1956,FY1957,FY1958,FY1959,FY1960,FY1961,FY1962,FY1963,FY1964,FY1965,FY1966,FY1967,FY1968,FY1969,FY1970,FY1971,FY1972,FY1973,FY1974,FY1975,FY1976,FY1976tq,FY1977,FY1978,FY1979,FY1980,FY1981,FY1982,FY1983,FY1984,FY1985,FY1986,FY1987,FY1988,FY1989,FY1990,FY1991,FY1992,FY1993,FY1994,FY1995,FY1996,FY1997,FY1998,FY1999,FY2000,FY2001,FY2002,FY2003,FY2004,FY2005,FY2006,FY2007,FY2008,FY2009,FY2010
Angola,Other State Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"185,205","332,823","65,491","64,669",,"95,460","110,059","78,198","119,338","183,451","105,150","179,158","691,691","687,565","89,173","224,069"
Angola,Other USAID Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17,609,296",,"22,215","13,596","24,560,231","14,646,511","19,055,456","510,220",,"14,250,089","25,816,740","26,511,287","10,777,157","2,907,214","2,194,370","2,701,765","3,269,460","3,378,961","6,867,949"
Angola,Title I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,107,562",,"27,984,232",,"12,933,860","12,764,713","12,517,719","12,228,816",,,,,,,,,
Angola,Title II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"557,834","2,687,936","3,969,702","14,656,342","8,241,425","4,688,445","2,044,837","5,071,427","7,589,785","5,838,241","5,827,693","6,808,514","3,571,393","3,202,292","10,181,287","25,192,409","19,661,670","62,895,180","60,841,876","65,973,293","45,481,727","44,039,794","42,952,747","74,891,132","44,795,622","93,030,093","128,362,001","80,884,695","33,945,028","3,846,572",,"101,916",,
Antigua and Barbuda,"Nonproliferation, Anti-Terrorism, Demining and Related",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18,028",,,,
Antigua and Barbuda,Other Active Grant Programs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25,277","118,288"
Argentina,Department of Defense Security Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"106,858"
Argentina,Economic Support Fund/Security Support Assistance,,,,,,,,,,,,,,,,,,"115,067,218",,,,,,,,,,,,,,,,,,,,,,,,,,,"320,017",,"371,743","507,222","1,417,813","395,707",,,,,,,,,,,,,,,,
Argentina,Inactive Programs,"9,414","8,533","7,792",,,,,,,,,,,,,,"29,128,272","172,600,827",,"19,550,452","27,352,507",,,,,,,,,,,,,,"128,636",,,,,"76,276",,,"4,117,299",,,,,,,,,,,,,,,,,,,,,,,
Argentina,Migration and Refugee Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"188,283","156,659",,,
Argentina,Narcotics Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"598,405","499,227","540,146","612,632","521,714","1,086,045","420,699","169,951",,,,,,,,,"118,348","68,710",,"104,440","3,205","257,947","944,735"
Argentina,"Nonproliferation, Anti-Terrorism, Demining and Related",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"139,088","560,727","52,000","357,276",,"718,115"
Argentina,Other Active Grant Programs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,777","341,843","3,189",,"332,326",,"46,309",,,"120,836","86,809","159,994",,"8,806",,,"664,036","955,286","1,046,827","492,730","748,606","1,157,963","655,329","494,859","984,992","3,549,897","724,436","1,301,878","2,541,883","533,913","253,367","1,357,279","187,685","1,224,089","5,860,012","1,739,762","1,657,190","3,614,781"
Argentina,Other State Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"652,033","532,975","269,552","420,528","362,586","115,865",,"98,119",,"30,891",,,"133,695","519,244","669,399","637,079","230,805","2,076,305","714,586","463,395","357,615"
Argentina,Other USAID Assistance,,,,,,,,,,,"655,687",,"613,734","152,391,522","4,778,100","40,643,886","128,164,398","458,542,865","54,583,137","10,054,518","9,299,853","8,481,753","14,337,598","9,301,056","4,645,929","2,212,127",,,,,,,,,,,,,,,,,,,,"243,837","743,485","1,086,904","1,559,595","1,648,084","59,823",,,,,,"3,846",,,,,,,,,
Argentina,Other USDA Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,444","181,230",,"20,209"
Argentina,Peace Corps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"705,763","1,176,785","970,523",,,,,,,,,,,,,,,,
Argentina,Title I,,,,,,,,,,"15,472,854","104,254,154",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,Child Survival and Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"968,314",,"663,658",,
Armenia,Department of Defense Security Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"353,537","1,032,959","274,392","1,720,371",,,,
Armenia,Development Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"834,525","882,241","856,405","816,810","806,085","1,197,110"
Armenia,Economic Support Fund/Security Support Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"155,959",,,,,,,,,,,,,,,"306,304","438,309",
Armenia,Global Health and Child Survival,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"503,803","400,000"
Armenia,Migration and Refugee Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"654,915","22,332","20,320","268,866","715,014",,,"459,603","111,270","107,590",,"229,728","403,043","1,399,934"
Armenia,Millennium Challenge Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"643,305","84,911,621","1,380,242","152,830,007","2,987,173","12,616,473"
Armenia,Narcotics Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,002,950","2,211,650",,,"1,831,369","3,792,286","3,631,543"
Armenia,"Nonproliferation, Anti-Terrorism, Demining and Related",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"375,532","1,076,136","2,923,409","294,614","1,756,406","1,282,370","1,191,052","234,150","1,183,709",,"1,481,120"
Armenia,Other Active Grant Programs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"608,653","9,574","506,842","662,549",,"594,867","946,223","1,122,784","8,096,881","5,860,924","11,647,897","1,707,129","2,109,343"
Armenia,Other Food Aid Programs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"70,008,793","68,487,328","33,146,888","10,854,016","3,592,256","13,360,898","11,658,824","21,672,336","7,895,145",,,,,"276,518","951,596","4,495,056",,
Armenia,Other State Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22,390","35,445",,"124,659","163,618","70,381","171,987","493,135","105,618","547,159","1,000,913","1,036,139","4,206,678","4,347,875","3,822,603","4,304,479","3,945,035","3,593,363","3,913,308"
Armenia,Other USAID Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"109,434,475","70,050,882","92,993,549","848,769","75,211,691","90,370,336","104,078,571","111,888,129","89,753,826","75,387,443","75,032,068","65,344,414","70,000,132","68,355,827","41,217,420","42,306,207","53,631,393"
Armenia,Other USDA Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,088,894",,,,,,,"5,478,000"
Armenia,Peace Corps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,446,170","1,471,752","1,363,683","1,341,856","1,444,742","1,504,208","1,661,966","1,748,725","1,490,693","1,704,720","2,005,735","1,843,010","1,339,234","1,402,585","1,450,709","1,372,453","2,246,963","2,483,900"
Armenia,Title I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"33,331,727","56,029,919","34,454,633","39,006,479",,"19,647,440","19,400,790","19,147,069","12,517,719",,,,,,,"638,576",,"4,066,719",
Armenia,Title II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,698,460","1,616,037","907,256","1,116,309","4,894,018","4,384,962","1,338,578",,,,,
Asia (not specified),Child Survival and Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19,599,071","12,744,289",,,,,,"30,282,350","13,444,147","1,935,501",58,
Asia (not specified),Development Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"42,440,889","54,000,186",,,,,"519,179","17,275,470","13,371,115","43,000,884","34,920,199","62,751,583"
Asia (not specified),Economic Support Fund/Security Support Assistance,,,,,"5,360,564","157,711,234","167,638,418","367,012,639","4,759,318,282","437,276,300",,,"20,253,227",,,,"8,738,482",,,,,,,"17,133,524",,"884,851","1,267,312","8,095,307","13,974,847","383,548,203",,,,,,,,,,,"978,455","81,270,425","50,551,852","60,334,138","125,704,378","74,202,120","68,451,198","40,577,755",,"1,388,445",,"1,376,536","16,044,099","53,233,182","16,730,447","39,709,671","697,043","240,610","2,500,936","1,387,320","5,003,111","6,360,555","4,037,605","16,359,765","13,829,303","7,022,905"
Asia (not specified),Global HIV/AIDS Initiative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"611,985","13,073,355","232,398","19,137",826,10
Asia (not specified),Global Health and Child Survival,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21,071,979","24,341,946","19,060,087"
Asia (not specified),Inactive Programs,"9,414",,,"237,466,463","186,088,162","248,558,720","240,281,733","133,770,962","14,917,367","12,109,190","10,490,984","5,057,727","4,909,873","6,047,283","7,167,150","17,082,213","86,219,686","35,670,838","30,703,015","67,588,705","65,646,018","190,309,338","60,934,791","76,366,564","81,303,758","15,042,465","4,224,374",,,,,,,,,,,,,,,,"80,630",,,,,,,,,,,,,,,,,,,,,,,
